cell,task,source,metric,n,n_front,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
llm-bench | AMD MI250 GPU x2 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,5,4,,,,,,,,0.663,0.863,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,5,3,,,,,,,,0.336,0.105,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,5,3,,,,,,,,0.116,0.105,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,5,3,,,,,,,,0.339,0.863,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,6,4,,,,,,,,0.254,1.591,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,6,2,,,,,,,,0.241,1.591,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,6,4,,,,,,,,0.144,1.591,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,6,2,,,,,,,,0.158,1.591,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,6,4,,,,,,,,0.518,1.591,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,6,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,6,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,6,3,,,,,,,,0.353,1.591,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,6,2,,,,,,,,0.095,1.591,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,6,2,,,,,,,,0.02,1.591,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,6,4,,,,,,,,0.558,1.591,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,8,5,,,,,,,,0.407,2.154,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,8,6,0.0,0.0755,0.0378,,,,0.9054,0.197,2.154,,excluded: floor at boundary (degenerate)
llm-bench | AMD MI250 GPU x4 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,8,5,,,,,,,,1.812,2.205,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,8,5,,,,,,,,0.597,2.154,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,8,3,,,,,,,,0.192,2.205,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,8,4,,,,,,,,0.355,2.205,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,8,5,,,,,,,,0.645,2.205,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,8,5,,,,,,,,0.181,2.205,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,8,5,,,,,,,,0.56,2.154,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,7,4,,,,,,,,0.248,1.295,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,7,6,0.0,0.271,0.1355,,,,0.7937,0.482,1.309,,excluded: floor at boundary (degenerate)
llm-bench | AMD MI250 GPU x4 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,7,4,,,,,,,,0.162,1.295,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,7,5,,,,,,,,1.441,1.309,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,7,4,,,,,,,,0.328,1.295,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,7,3,,,,,,,,0.209,1.309,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,7,5,,,,,,,,0.343,1.309,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,7,5,,,,,,,,0.793,1.309,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,7,5,,,,,,,,0.493,1.309,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,7,4,,,,,,,,0.107,1.309,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x4 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,7,4,,,,,,,,0.388,1.295,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,5,4,,,,,,,,0.323,0.989,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,5,2,,,,,,,,0.317,0.162,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,5,4,,,,,,,,0.071,0.989,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,5,2,,,,,,,,1.202,0.162,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,5,4,,,,,,,,0.478,0.989,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,5,2,,,,,,,,0.088,0.162,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,5,2,,,,,,,,0.211,0.162,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,5,3,,,,,,,,0.663,0.989,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,5,2,,,,,,,,0.336,0.162,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,5,2,,,,,,,,0.116,0.162,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,5,4,,,,,,,,0.339,0.989,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,7,4,,,,,,,,0.558,2.067,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,7,5,,,,,,,,0.197,2.067,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,7,3,,,,,,,,1.36,2.067,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,7,2,,,,,,,,0.088,0.016,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,7,2,,,,,,,,0.211,0.016,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,7,4,,,,,,,,0.968,2.067,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,7,3,,,,,,,,0.431,2.067,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x1 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,7,3,,,,,,,,0.136,2.067,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,7,5,,,,,,,,0.407,1.847,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,7,4,,,,,,,,0.622,1.89,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,7,5,,,,,,,,0.197,1.847,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,7,4,,,,,,,,1.812,1.89,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,7,5,,,,,,,,0.597,1.847,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,7,3,,,,,,,,0.192,1.89,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,7,3,,,,,,,,0.355,1.89,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,7,5,,,,,,,,1.216,1.89,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,7,4,,,,,,,,0.645,1.89,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,7,4,,,,,,,,0.181,1.89,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,7,5,,,,,,,,0.56,1.847,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,6,4,,,,,,,,0.254,2.032,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,6,3,,,,,,,,0.241,2.032,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,6,4,,,,,,,,0.144,2.032,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,6,2,,,,,,,,0.158,2.032,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,6,5,,,,,,,,0.518,2.032,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,6,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,6,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,6,3,,,,,,,,0.353,2.032,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,6,2,,,,,,,,0.095,2.032,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,6,2,,,,,,,,0.02,2.032,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x2 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,6,5,,,,,,,,0.558,2.032,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,7,5,,,,,,,,0.407,1.855,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,7,4,,,,,,,,0.622,1.896,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,7,5,,,,,,,,0.197,1.855,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,7,4,,,,,,,,1.812,1.896,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,7,5,,,,,,,,0.597,1.855,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,7,3,,,,,,,,0.192,1.896,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,7,3,,,,,,,,0.355,1.896,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,7,5,,,,,,,,1.216,1.896,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,7,4,,,,,,,,0.645,1.896,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,7,4,,,,,,,,0.181,1.896,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,7,5,,,,,,,,0.56,1.855,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,6,4,,,,,,,,0.254,1.487,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,6,3,,,,,,,,0.241,1.487,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,6,4,,,,,,,,0.144,1.487,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,6,2,,,,,,,,0.158,1.487,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,6,5,,,,,,,,0.518,1.487,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,6,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,6,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,6,3,,,,,,,,0.353,1.487,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,6,2,,,,,,,,0.095,1.487,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,6,2,,,,,,,,0.02,1.487,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x4 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,6,5,,,,,,,,0.558,1.487,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x8 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,5,4,,,,,,,,0.254,1.171,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x8 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,5,4,,,,,,,,0.387,1.171,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x8 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,5,3,,,,,,,,0.143,1.171,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x8 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,5,3,,,,,,,,0.862,1.171,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x8 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,5,4,,,,,,,,0.397,1.171,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x8 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,5,2,,,,,,,,0.133,0.031,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x8 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,5,3,,,,,,,,0.159,1.171,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x8 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,5,3,,,,,,,,0.475,1.171,,excluded: front shorter than six points
